LOCATION,SUBJECT,TIME,VALUE
Germany,TOT,2000,0.91
Germany,TOT,2001,0.93
Germany,TOT,2002,0.93
Germany,TOT,2003,0.94
Germany,TOT,2004,0.94
Germany,TOT,2005,0.95
Germany,TOT,2006,0.98
Germany,TOT,2007,1.0
Germany,TOT,2008,0.99
Germany,TOT,2009,0.93
Germany,TOT,2010,0.97
Germany,TOT,2011,0.99
Germany,TOT,2012,0.99
Germany,TOT,2013,0.98
Germany,TOT,2014,1.0
Germany,TOT,2015,1.0
Germany,TOT,2016,1.01
Germany,TOT,2017,1.03
Germany,TOT,2018,1.02
Germany,TOT,2019,1.02
Germany,TOT,2020,0.99
Germany,TOT,2021,1.02
Germany,TOT,2022,1.02
Germany,TOT,2023,1.01
Germany,TOT,2024,1.02
United Kingdom,TOT,2000,0.89
United Kingdom,TOT,2001,0.91
United Kingdom,TOT,2002,0.92
United Kingdom,TOT,2003,0.93
United Kingdom,TOT,2004,0.95
United Kingdom,TOT,2005,0.96
United Kingdom,TOT,2006,0.98
United Kingdom,TOT,2007,0.99
United Kingdom,TOT,2008,0.98
United Kingdom,TOT,2009,0.95
United Kingdom,TOT,2010,0.97
United Kingdom,TOT,2011,0.98
United Kingdom,TOT,2012,0.98
United Kingdom,TOT,2013,0.99
United Kingdom,TOT,2014,1.0
United Kingdom,TOT,2015,1.0
United Kingdom,TOT,2016,1.0
United Kingdom,TOT,2017,1.02
United Kingdom,TOT,2018,1.02
United Kingdom,TOT,2019,1.03
United Kingdom,TOT,2020,0.93
United Kingdom,TOT,2021,1.01
United Kingdom,TOT,2022,1.05
United Kingdom,TOT,2023,1.05
United Kingdom,TOT,2024,1.05
