"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","HRWKD","TOT","HR_WKD","A","2019",1509.59166042256,
"AUT","HRWKD","TOT","HR_WKD","A","2020",1400.78692305547,
"AUT","HRWKD","TOT","HR_WKD","A","2021",1439.09392041434,
"AUT","HRWKD","TOT","HR_WKD","A","2022",1443.72036929688,
"BEL","HRWKD","TOT","HR_WKD","A","2019",1577.09552214414,
"BEL","HRWKD","TOT","HR_WKD","A","2020",1445.92409611498,
"BEL","HRWKD","TOT","HR_WKD","A","2021",1525.81527730452,
"CZE","HRWKD","TOT","HR_WKD","A","2019",1786.03344465839,
"CZE","HRWKD","TOT","HR_WKD","A","2020",1676.85340055456,
"CZE","HRWKD","TOT","HR_WKD","A","2021",1722.1239522772,
"CZE","HRWKD","TOT","HR_WKD","A","2022",1754.05032952875,
"DNK","HRWKD","TOT","HR_WKD","A","2019",1371.38626775091,
"DNK","HRWKD","TOT","HR_WKD","A","2020",1344.85132862429,
"DNK","HRWKD","TOT","HR_WKD","A","2021",1362.87913386047,
"DNK","HRWKD","TOT","HR_WKD","A","2022",1371.60609615354,
"FIN","HRWKD","TOT","HR_WKD","A","2019",1538.37118618515,
"FIN","HRWKD","TOT","HR_WKD","A","2020",1529.94896559755,
"FIN","HRWKD","TOT","HR_WKD","A","2021",1525.04134175477,
"FIN","HRWKD","TOT","HR_WKD","A","2022",1498.06870354781,
"FRA","HRWKD","TOT","HR_WKD","A","2019",1518.15725565889,
"FRA","HRWKD","TOT","HR_WKD","A","2020",1402.64350837515,
"FRA","HRWKD","TOT","HR_WKD","A","2021",1483.79270520909,
"FRA","HRWKD","TOT","HR_WKD","A","2022",1511.40022225215,
"DEU","HRWKD","TOT","HR_WKD","A","2019",1372.15252777348,
"DEU","HRWKD","TOT","HR_WKD","A","2020",1319.1306913058,
"DEU","HRWKD","TOT","HR_WKD","A","2021",1340.16562916852,
"DEU","HRWKD","TOT","HR_WKD","A","2022",1340.86197059469,
"GRC","HRWKD","TOT","HR_WKD","A","2019",1917.59521022887,
"GRC","HRWKD","TOT","HR_WKD","A","2020",1731.88831125499,
"GRC","HRWKD","TOT","HR_WKD","A","2021",1854.2687906331,
"GRC","HRWKD","TOT","HR_WKD","A","2022",1886.2939579691,
"HUN","HRWKD","TOT","HR_WKD","A","2019",1722.2,
"HUN","HRWKD","TOT","HR_WKD","A","2020",1657.1,
"HUN","HRWKD","TOT","HR_WKD","A","2021",1687.7,
"HUN","HRWKD","TOT","HR_WKD","A","2022",1699.6,
"IRL","HRWKD","TOT","HR_WKD","A","2019",1742.06256942273,
"IRL","HRWKD","TOT","HR_WKD","A","2020",1619.56589293198,
"IRL","HRWKD","TOT","HR_WKD","A","2021",1627.49082457235,
"IRL","HRWKD","TOT","HR_WKD","A","2022",1657.46850323674,
"ITA","HRWKD","TOT","HR_WKD","A","2019",1710.18095271704,
"ITA","HRWKD","TOT","HR_WKD","A","2020",1543.11731400339,
"ITA","HRWKD","TOT","HR_WKD","A","2021",1658.26987951807,
"ITA","HRWKD","TOT","HR_WKD","A","2022",1694.452444434,
"LUX","HRWKD","TOT","HR_WKD","A","2019",1492.70621843155,
"LUX","HRWKD","TOT","HR_WKD","A","2020",1408.22588854016,
"LUX","HRWKD","TOT","HR_WKD","A","2021",1467.41066739708,
"LUX","HRWKD","TOT","HR_WKD","A","2022",1473.25797266402,
"NLD","HRWKD","TOT","HR_WKD","A","2019",1441.07544424816,
"NLD","HRWKD","TOT","HR_WKD","A","2020",1407.90304043465,
