"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","GDPHRWKDFORECAST","TOT","IDX2015","A","2000",0.91195050436822,
"DEU","GDPHRWKDFORECAST","TOT","IDX2015","A","2001",0.931052868499657,
"DEU","GDPHRWKDFORECAST","TOT","IDX2015","A","2002",0.934059707704011,
"DEU","GDPHRWKDFORECAST","TOT","IDX2015","A","2003",0.937558806956676,
"DEU","GDPHRWKDFORECAST","TOT","IDX2015","A","2004",0.941154447412155,
"DEU","GDPHRWKDFORECAST","TOT","IDX2015","A","2005",0.95087229117284,
"DEU","GDPHRWKDFORECAST","TOT","IDX2015","A","2006",0.981806919687175,
"DEU","GDPHRWKDFORECAST","TOT","IDX2015","A","2007",0.995064878602071,
"DEU","GDPHRWKDFORECAST","TOT","IDX2015","A","2008",0.98799312633277,
"DEU","GDPHRWKDFORECAST","TOT","IDX2015","A","2009",0.930753192235314,
"DEU","GDPHRWKDFORECAST","TOT","IDX2015","A","2010",0.965003538638624,
"DEU","GDPHRWKDFORECAST","TOT","IDX2015","A","2011",0.99153133241978,
"DEU","GDPHRWKDFORECAST","TOT","IDX2015","A","2012",0.986353586482733,
"DEU","GDPHRWKDFORECAST","TOT","IDX2015","A","2013",0.984020454599311,
"DEU","GDPHRWKDFORECAST","TOT","IDX2015","A","2014",0.997010691291241,
"DEU","GDPHRWKDFORECAST","TOT","IDX2015","A","2015",1,
"DEU","GDPHRWKDFORECAST","TOT","IDX2015","A","2016",1.00879167766277,
"DEU","GDPHRWKDFORECAST","TOT","IDX2015","A","2017",1.02505731921401,
"DEU","GDPHRWKDFORECAST","TOT","IDX2015","A","2018",1.02115528625487,
"DEU","GDPHRWKDFORECAST","TOT","IDX2015","A","2019",1.02307380327309,
"DEU","GDPHRWKDFORECAST","TOT","IDX2015","A","2020",0.988008379040049,
"DEU","GDPHRWKDFORECAST","TOT","IDX2015","A","2021",1.01735934722992,
"DEU","GDPHRWKDFORECAST","TOT","IDX2015","A","2022",1.022577059175,
"DEU","GDPHRWKDFORECAST","TOT","IDX2015","A","2023",1.01372743071896,
"DEU","GDPHRWKDFORECAST","TOT","IDX2015","A","2024",1.01848340194963,
"GBR","GDPHRWKDFORECAST","TOT","IDX2015","A","2000",0.891083584531384,
"GBR","GDPHRWKDFORECAST","TOT","IDX2015","A","2001",0.906525398878045,
