"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1964",0.475941375315186,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1965",0.473287832455819,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1966",0.478964536763373,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1967",0.501016380662552,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1968",0.515176772129848,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1969",0.532277603602201,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1970",0.548434043041865,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1971",0.556274007274595,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1972",0.561123509637919,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1973",0.569971302748777,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1974",0.567459785410252,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1975",0.583940665415108,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1976",0.598263119652817,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1977",0.601665598052769,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1978",0.610392006456439,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1979",0.630525058447188,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1980",0.629755473266989,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1981",0.642574632521054,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1982",0.640367733901535,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1983",0.650852862322453,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1984",0.67308714748124,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1985",0.685496138798058,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1986",0.669894097373919,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1987",0.690423035171583,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1988",0.694797855368307,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1989",0.694635999162125,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1990",0.691947754915449,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1991",0.699509662033137,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1992",0.724037208518102,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1993",0.751818775613587,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1994",0.763009848278727,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1995",0.759090814829338,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1996",0.778758559443821,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1997",0.804687870939292,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1998",0.82963410750415,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","1999",0.848130840647725,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","2000",0.854300747265833,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","2001",0.866665467654689,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","2002",0.884286930703148,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","2003",0.892029157379016,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","2004",0.911617506792107,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","2005",0.908454339964178,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","2006",0.91040242116792,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","2007",0.921993472008502,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","2008",0.91815972167464,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","2009",0.929904508323579,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","2010",0.934270055729993,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","2011",0.942731408859384,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","2012",0.967634583798989,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","2013",0.979474851219131,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","2014",0.996972241234334,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","2015",1,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","2016",1.00911783224888,
"AUS","GDPHRWKDFORECAST","TOT","IDX2015","A","2017",1.01017080219463,
